=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.08 16:12:28 =~=~=~=~=~=~=~=~=~=~=~=
	READY
00:00:00,-12.6875
00:00:01,-12.6875
00:00:02,-12.7500
00:00:03,-12.6875
00:00:04,-12.6875
00:00:05,-12.6875
00:00:06,-12.6875
00:00:07,-12.6875
00:00:08,-12.6875
00:00:09,-12.6875
00:00:10,-12.7500
00:00:11,-12.6875
00:00:12,-12.7500
00:00:13,-12.7500
00:00:14,-12.7500
00:00:15,-12.7500
00:00:16,-12.7500
00:00:17,-12.7500
00:00:18,-12.7500
00:00:19,-12.7500
00:00:20,-12.8125
00:00:21,-12.8125
00:00:22,-12.8125
00:00:23,-12.8125
00:00:24,-12.8125
00:00:25,-12.8125
00:00:26,-12.8125
00:00:27,-12.8125
00:00:28,-12.8125
00:00:29,-12.8750
00:00:31,-12.8125
00:00:32,-12.8750
00:00:33,-12.8750
00:00:34,-12.8750
00:00:35,-12.8750
00:00:36,-12.8750
00:00:37,-12.8750
00:00:38,-12.8750
00:00:39,-12.8750
00:00:40,-12.8750
00:00:41,-12.8750
00:00:42,-12.8750
00:00:43,-12.8750
00:00:44,-12.9375
00:00:45,-12.8750
00:00:46,-12.8750
00:00:47,-12.9375
00:00:48,-12.9375
00:00:49,-12.9375
00:00:50,-12.9375
00:00:51,-12.9375
00:00:52,-12.9375
00:00:53,-12.9375
00:00:54,-12.9375
00:00:55,-12.9375
00:00:56,-12.9375
00:00:57,-13.0000
00:00:58,-13.0000
00:00:59,-13.0000
00:01:00,-13.0000
00:01:01,-13.0000
00:01:02,-13.0000
00:01:03,-13.0000
00:01:04,-13.0000
00:01:06,-13.0000
00:01:07,-13.0000
00:01:08,-13.0000
00:01:09,-13.0000
00:01:10,-13.0000
00:01:11,-13.0000
00:01:12,-13.0000
00:01:13,-13.0000
00:01:14,-13.0000
00:01:15,-13.0625
00:01:16,-13.0625
00:01:17,-13.0625
00:01:18,-13.0625
00:01:19,-13.0625
00:01:20,-13.0625
00:01:21,-13.0625
00:01:22,-13.0625
00:01:23,-13.0625
00:01:24,-13.0625
00:01:25,-13.0625
00:01:26,-13.0625
00:01:27,-13.0625
00:01:28,-13.0000
00:01:29,-13.0000
00:01:30,-13.0000
00:01:31,-13.0000
00:01:32,-13.0000
00:01:33,-12.9375
00:01:34,-12.9375
00:01:35,-12.9375
00:01:36,-12.8750
00:01:37,-12.9375
00:01:38,-12.8750
00:01:40,-12.8125
00:01:41,-12.8125
00:01:42,-12.8125
00:01:43,-12.8125
00:01:44,-12.7500
00:01:45,-12.7500
00:01:46,-12.7500
00:01:47,-12.6875
00:01:48,-12.6875
00:01:49,-12.6875
00:01:50,-12.6875
00:01:51,-12.6250
00:01:52,-12.6250
00:01:53,-12.6250
00:01:54,-12.6250
00:01:55,-12.6250
00:01:56,-12.6250
00:01:57,-12.6250
00:01:58,-12.6250
00:01:59,-12.6250
00:02:00,-12.6250
00:02:01,-12.6250
00:02:02,-12.6250
00:02:03,-12.6250
00:02:04,-12.6250
00:02:05,-12.6875
00:02:06,-12.6250
00:02:07,-12.6875
00:02:08,-12.6250
00:02:09,-12.6875
00:02:10,-12.6875
00:02:11,-12.6875
00:02:12,-12.6875
00:02:13,-12.6875
00:02:15,-12.6875
00:02:16,-12.6875
00:02:17,-12.6875
00:02:18,-12.6875
00:02:19,-12.6875
00:02:20,-12.6875
00:02:21,-12.6875
00:02:22,-12.6875
00:02:23,-12.7500
00:02:24,-12.6875
00:02:25,-12.6875
00:02:26,-12.7500
00:02:27,-12.6875
00:02:28,-12.6875
00:02:29,-12.7500
00:02:30,-12.7500
00:02:31,-12.7500
00:02:32,-12.7500
00:02:33,-12.7500
00:02:34,-12.7500
00:02:35,-12.7500
00:02:36,-12.7500
00:02:37,-12.7500
00:02:38,-12.7500
00:02:39,-12.7500
00:02:40,-12.7500
00:02:41,-12.7500
00:02:42,-12.7500
00:02:43,-12.7500
00:02:44,-12.7500
00:02:45,-12.7500
00:02:46,-12.7500
00:02:47,-12.7500
00:02:49,-12.7500
00:02:50,-12.7500
00:02:51,-12.7500
00:02:52,-12.7500
00:02:53,-12.7500
00:02:54,-12.7500
00:02:55,-12.7500
00:02:56,-12.7500
00:02:57,-12.7500
00:02:58,-12.7500
00:02:59,-12.7500
00:03:00,-12.7500
00:03:01,-12.7500
00:03:02,-12.7500
00:03:03,-12.7500
00:03:04,-12.7500
00:03:05,-12.7500
00:03:06,-12.7500
00:03:07,-12.7500
00:03:08,-12.7500
00:03:09,-12.8125
00:03:10,-12.7500
00:03:11,-12.7500
00:03:12,-12.7500
00:03:13,-12.7500
00:03:14,-12.8125
00:03:15,-12.7500
00:03:16,-12.8125
00:03:17,-12.7500
00:03:18,-12.7500
00:03:19,-12.7500
00:03:20,-12.7500
00:03:21,-12.7500
00:03:22,-12.7500
00:03:24,-12.8125
00:03:25,-12.7500
00:03:26,-12.7500
00:03:27,-12.7500
00:03:28,-12.7500
00:03:29,-12.7500
00:03:30,-12.8125
00:03:31,-12.7500
00:03:32,-12.7500
00:03:33,-12.7500
00:03:34,-12.7500
00:03:35,-12.8125
00:03:36,-12.7500
00:03:37,-12.8125
00:03:38,-12.7500
00:03:39,-12.7500
